
SINGLE LINES:

Name,Layer

CPT_063_P05,BM01
CPT_063_P14,BM01
CPT_063_P23,BM01
CPT_063_P32,BM01
CPT_063_P41,BM01
CPT_063_P50,BM01
CPT_063_S05,BM01
CPT_063_S14,BM01
CPT_063_S23,BM01
CPT_063_S32,BM01
CPT_063_S41,BM01
CPT_063_S50,BM01
CPT_104_P05,BM01
CPT_104_P14,BM01
CPT_104_P23,BM01
CPT_104_P32,BM01
CPT_104_P41,BM01
CPT_104_P50,BM01
CPT_104_S05,BM01
CPT_104_S14,BM01
CPT_104_S23,BM01
CPT_104_S32,BM01
CPT_104_S41,BM01
CPT_104_S50,BM01
CPT_105_P05,BM01
CPT_105_P14,BM01
CPT_105_P23,BM01
CPT_105_P32,BM01
CPT_105_P41,BM01
CPT_105_P50,BM01
CPT_105_S05,BM01
CPT_105_S14,BM01
CPT_105_S23,BM01
CPT_105_S32,BM01
CPT_105_S41,BM01
CPT_105_S50,BM01
CPT_113_P05,BM01
CPT_113_P14,BM01
CPT_113_P23,BM01
CPT_113_P32,BM01
CPT_113_P41,BM01
CPT_113_P50,BM01
CPT_113_S05,BM01
CPT_113_S14,BM01
CPT_113_S23,BM01
CPT_113_S32,BM01
CPT_113_S41,BM01
CPT_113_S50,BM01
CPT_181_P05,BM01
CPT_181_P14,BM01
CPT_181_P23,BM01
CPT_181_P32,BM01
CPT_181_P41,BM01
CPT_181_P50,BM01
CPT_181_S05,BM01
CPT_181_S14,BM01
CPT_181_S23,BM01
CPT_181_S32,BM01
CPT_181_S41,BM01
CPT_181_S50,BM01
CPT_198_P05,BM01
CPT_198_P14,BM01
CPT_198_P23,BM01
CPT_198_P32,BM01
CPT_198_P41,BM01
CPT_198_P50,BM01
CPT_198_S05,BM01
CPT_198_S14,BM01
CPT_198_S23,BM01
CPT_198_S32,BM01
CPT_198_S41,BM01
CPT_198_S50,BM01
CPT_217_P05,BM01
CPT_217_P14,BM01
CPT_217_P23,BM01
CPT_217_P32,BM01
CPT_217_P41,BM01
CPT_217_P50,BM01
CPT_217_S05,BM01
CPT_217_S14,BM01
CPT_217_S23,BM01
CPT_217_S32,BM01
CPT_217_S41,BM01
CPT_217_S50,BM01
CPT_219_P05,BM01
CPT_219_P14,BM01
CPT_219_P23,BM01
CPT_219_P32,BM01
CPT_219_P41,BM01
CPT_219_P50,BM01
CPT_219_S05,BM01
CPT_219_S14,BM01
CPT_219_S23,BM01
CPT_219_S32,BM01
CPT_219_S41,BM01
CPT_219_S50,BM01
CPT_222_P05,BM01
CPT_222_P14,BM01
CPT_222_P23,BM01
CPT_222_P32,BM01
CPT_222_P41,BM01
CPT_222_P50,BM01
CPT_222_S05,BM01
CPT_222_S14,BM01
CPT_222_S23,BM01
CPT_222_S32,BM01
CPT_222_S41,BM01
CPT_222_S50,BM01
CPT_250_P05,BM01
CPT_250_P14,BM01
CPT_250_P23,BM01
